owner.objectId,cetliId.objectId,objectId,product,quantity,createdAt,updatedAt,selected,deleted,crossedOutLocation.latitude,crossedOutLocation.longitude
p6Em7Ns2H0,LVa5KbQPjJ,lTEIY8am9N,dohány,1,2016-01-08T15:24:25.327Z,2016-07-11T16:36:32.520Z,0,1,null,null
qPVjnXDt96,nVOahzCA9w,jsGahrYF8A,vaj,1,2016-05-06T12:33:40.548Z,2016-05-06T12:33:40.548Z,0,null,null,null
EwDt7Y1dBp,Vb7uyBnUeL,QgIJ9IFrdz,sonka,3,2016-02-10T17:19:24.320Z,2016-02-18T10:05:38.986Z,0,1,null,null
EA8VmHkWgW,x7es8kbO7F,BWl5LfraYX,mascarpone,1,2016-03-25T11:08:39.547Z,2016-03-26T11:31:55.727Z,1,null,null,null
0fGglovVft,OU49dRcGnI,2XxKR4e4o2,sör,1,2016-04-30T05:20:29.230Z,2016-08-08T19:41:32.756Z,1,1,47.4632869770722,19.14600302755893
XfTK9dMHmm,vFNeO8agvf,aCmKGlZk7t,wc papír,1,2016-01-31T15:10:49.165Z,2016-01-31T15:10:49.165Z,0,null,null,null
0Eztt06MoS,iqi7wAtrKe,s2HLTJeUwI,olaj,1,2016-03-19T11:34:38.672Z,2016-03-19T13:19:55.892Z,1,null,null,null
m9ceBJW7bC,whLReSrCUN,fB10s3UA9C,olivaolaj,1,2016-05-23T08:54:34.749Z,2016-07-06T14:37:12.912Z,1,1,null,null
rv6qOxJgoi,epw8j4iZRM,IRnwDBO4Dk,bacon,1,2016-02-01T19:53:31.534Z,2016-02-02T11:41:29.152Z,0,1,null,null
SiEgrJzTX8,tc7mjdc12D,j2Jtv3B37g,répa,1,2016-05-31T09:44:24.032Z,2016-05-31T09:52:37.093Z,1,null,null,null
8jSvn2qI2T,zZOrojDy31,rQll3YMJ2U,wc illatosító,1,2016-06-18T09:16:55.002Z,2016-06-18T09:16:55.002Z,0,null,null,null
3fQjxxXF48,AA738J7IvJ,O5AWJ7PyiU,hagyma,1,2016-04-23T12:17:30.873Z,2016-04-25T13:03:27.227Z,1,1,null,null
N7HNTEgveL,IEmmXBPUsH,76u3TGHtgU,zöldség,1,2016-04-03T16:51:13.078Z,2016-04-03T16:51:13.078Z,0,null,null,null
efTkOHaR7n,jiYowbFfav,sSU3HzQIfA,majonéz,1,2016-08-14T11:42:09.087Z,2016-08-14T11:42:09.087Z,0,null,null,null
TcP5UdXUbW,yCssaOC9Qu,DqGSSFoAQ8,joghurt,1,2016-08-17T06:27:07.882Z,2016-08-17T06:27:07.882Z,0,null,null,null
aVeJMe42KS,bCWnFhSgQv,lmhid9r4N1,ketchup,1,2016-05-10T07:38:03.867Z,2016-05-14T13:27:36.428Z,1,null,null,null
9RqylcuFI8,Q31fYNeOBv,fIDVE6Enjl,fogkrém,1,2016-07-03T09:16:27.272Z,2016-07-17T07:32:51.463Z,0,1,null,null
3iHNtzki0H,QoC63E5ltj,LpDtimV51K,paradicsom,1,2016-05-21T07:36:18.451Z,2016-05-21T08:02:20.290Z,1,null,47.45267206341722,19.14891804570253
G8wIZdLLj0,D1aNyDVoQK,iZSelD0BlL,ásványvíz,1,2016-06-19T11:01:36.909Z,2016-06-19T11:43:14.132Z,0,1,null,null
mmSNM1iUGG,VX60U7roav,WgU1xqbcb9,naptej,3,2016-08-06T11:48:15.995Z,2016-08-06T11:48:15.995Z,0,null,null,null
iUVHLjCoCW,FPgOqfxWJx,Fw8BLzqzz1,ketchup,1,2016-07-18T17:29:58.960Z,2016-07-18T18:31:41.900Z,1,null,null,null
Z1MdLEyCpU,PGfBBltriQ,W241xl4Knh,felvágott,1,2016-07-29T13:19:07.340Z,2016-07-30T13:43:17.587Z,1,1,null,null
WttVMLsdI1,zKbOalBpuI,nhGukLqvSG,kenyér,1,2016-06-24T23:06:49.461Z,2016-06-24T23:07:23.664Z,0,1,null,null
yRVqyPZkqQ,lBS93rjLFc,O7dn3pilJz,chips,1,2016-06-12T14:07:39.185Z,2016-08-27T06:52:14.313Z,1,1,null,null
Zsx4Ljo7Ce,03e8IxPj6c,h3avOiUXIG,túró,1,2016-01-27T16:03:20.183Z,2016-01-27T16:03:20.183Z,0,null,null,null
bcNPACMpn0,F1ilLSR5xu,VejYNy2dDH,öblítő,1,2016-04-27T17:52:15.302Z,2016-04-27T17:52:49.015Z,1,null,null,null
LBNFQzOJmb,uA45qZs3mw,DWNWS5L8CQ,tojás,1,2016-02-06T14:43:05.017Z,2016-02-06T14:43:05.017Z,0,null,null,null
f52aC4AHPM,A1Pn1wbHFP,o1qMlTn4RW,mozzarella,3,2016-06-06T20:37:37.368Z,2016-06-06T20:37:52.758Z,0,null,null,null
SSBU93NVNd,3ka8qcz4j2,sfrlbiBRZi,saláta,1,2016-03-17T11:12:07.546Z,2016-03-17T11:12:07.546Z,0,null,null,null
7Thmx8CkzT,pw7hzqjTSq,X1opFHZYUF,csirkemell sonka,1,2016-01-12T11:25:26.023Z,2016-01-25T08:20:25.004Z,1,1,null,null
ytkl2iHFiT,YP0oav2TJF,MuVqkjIKCp,zsír,1,2016-05-03T06:40:51.780Z,2016-05-09T06:03:08.161Z,0,1,null,null
wMUiZ4g9pE,rU7k0mmLnu,6ELcmJ9E4H,piros arany,1,2016-02-28T15:16:47.063Z,2016-03-29T05:44:12.449Z,0,1,null,null
aVeJMe42KS,1Z4vFoaZ9h,V53LzD8igd,zabpehely,1,2016-05-04T16:02:55.671Z,2016-05-04T17:25:59.705Z,1,null,null,null
3ZF9EZW9di,9kH8sOkjDy,DkBcin8BSy,vaj,2,2016-01-12T08:05:16.770Z,2016-01-12T08:05:16.770Z,null,null,null,null
p5T2Hhl24k,Qc3AI1wJ7D,ipHikKyqtD,ketchup,1,2016-08-07T07:01:16.888Z,2016-08-07T07:01:16.888Z,0,null,null,null
kjgfXFVSLU,lxWN0bFRFH,atZa69wJm7,hagyma,1,2016-04-03T13:44:56.865Z,2016-08-14T07:52:47.359Z,1,1,null,null
HJvvrOdwII,wblUBLagEd,bDlSdqAStY,tojás,1,2016-08-05T13:15:54.577Z,2016-08-08T10:19:53.355Z,1,1,null,null
aSPZZggER7,KhgML2QP1a,fYjVnd3iKr,tejszínhab,1,2016-06-16T07:00:41.938Z,2016-06-16T07:00:41.938Z,0,null,null,null
ipqsA8kiOy,T5BJAjXXGF,SOPXQAswNV,élesztő,1,2016-06-04T15:36:24.984Z,2016-06-12T10:13:45.868Z,1,1,null,null
O2q5pVzBgw,qSIzbrN5RV,pceWo0Xyrm,barack,1,2016-07-09T09:57:21.059Z,2016-07-11T20:29:19.289Z,0,1,null,null
44LzUdtpvP,CrKtEHn0MC,1LgNWSkGEs,csirkemell,1,2016-04-30T08:34:53.265Z,2016-04-30T08:34:53.265Z,0,null,null,null
cN9SnOZzbL,c1oIWvfB5z,QJ8UVhWQ8C,tejföl,1,2016-04-03T20:06:38.821Z,2016-04-06T15:30:49.232Z,0,1,null,null
aoI3blHH8o,HSt92N7USM,lEli5cOZGu,tej,1,2016-04-04T18:23:09.066Z,2016-04-08T12:48:47.193Z,1,null,null,null
gBviI2zqM1,55Fd2ekbja,pYiujlJZud,rántott sajt,1,2016-02-06T07:59:40.304Z,2016-02-07T18:01:14.561Z,0,1,null,null
f52aC4AHPM,A1Pn1wbHFP,9t8198iDQd,kávé,1,2016-06-06T20:42:23.378Z,2016-06-06T20:42:23.378Z,0,null,null,null
kUCJn0ubgD,iakcOiHYgP,9i2LDkGWGi,zeller,1,2016-04-22T17:59:59.101Z,2016-04-23T12:49:51.133Z,1,null,null,null
gF8xR1ROpF,d9Gi6zuYCp,xEDCQTNleF,tej,1,2016-07-19T05:53:36.771Z,2016-07-23T19:33:59.262Z,1,1,null,null
3rB4TQPrOU,gmhK0LrzFa,8BaQzrjhJj,uborka,1,2016-01-20T13:20:46.008Z,2016-02-01T17:50:53.409Z,0,1,null,null
B3ppkaTJLY,Hc5rV3pUJM,fzpHdfpFlm,tejföl,1,2016-01-09T12:01:00.941Z,2016-01-09T12:01:00.941Z,0,null,null,null
NifCATPJ7n,RFcIbAmokz,rSvuzXHYIL,paradicsom konzerv,1,2016-07-23T14:55:15.434Z,2016-07-23T14:55:15.434Z,0,null,null,null
m9ceBJW7bC,K651S3QFBO,twys64ZHsB,leveszöldség,1,2016-08-13T08:41:31.819Z,2016-08-13T12:46:00.043Z,1,null,null,null
aOituYSL6z,Sunaz3e97B,GZhGMhqDqP,tészta,1,2016-02-11T03:21:22.322Z,2016-02-11T03:21:22.322Z,0,null,null,null
iTXYpVwZCX,X1OqUPJru5,junzxL5UzS,flóraszept,1,2016-04-02T08:18:47.800Z,2016-04-02T08:20:04.385Z,0,1,null,null
rRXmsHFouT,Q1wPxPGdrn,LadYK8YqeS,tojás,10,2016-04-12T20:16:07.704Z,2016-04-12T20:16:07.704Z,0,null,null,null
OHeYe18ZRy,hBIku7wGKg,nTIm7pieEV,majonéz,1,2016-02-13T08:40:25.409Z,2016-03-03T14:52:07.302Z,0,1,null,null
4ezb5sdvrx,XbxgyDJX2S,iQ0leqEZ3a,wc papír,1,2016-04-21T13:55:43.338Z,2016-04-21T13:55:43.338Z,0,null,null,null
FpDCH8o5Hv,mugzGE774G,5lQJjkWgvH,papírtörlő,2,2016-04-06T11:11:18.173Z,2016-04-06T11:54:57.296Z,0,1,null,null
GoJSbzneaJ,wYDrYJsn6N,OT0r4JzCwQ,csirke,1,2016-03-05T10:32:23.631Z,2016-03-05T14:06:30.850Z,1,null,null,null
066b83iBaE,s9iIoStt0H,Vc28mVJJiH,pékáru,1,2016-03-11T15:08:38.376Z,2016-03-11T15:08:38.376Z,0,null,null,null
EwDt7Y1dBp,hawQYSesLk,ogDaDipTcI,mosópor,1,2016-03-04T16:51:31.128Z,2016-04-04T15:40:48.906Z,0,1,null,null
6O282ccWUL,IhMPmLjQw0,KD3RekKH99,paprika,1,2016-04-22T03:58:02.051Z,2016-04-22T19:27:59.628Z,1,1,null,null
E7Nm171DCd,wd8S1pI3n3,0o2AJ9PZzJ,tej,1,2016-04-09T16:34:28.051Z,2016-04-09T16:34:28.051Z,0,null,null,null
QuvAiQkRkM,tvB1woVJKK,6rrlh2DdxL,felvágott,1,2016-02-01T08:01:37.656Z,2016-02-08T08:35:00.917Z,1,1,47.42341716876334,19.07139079387539
nfvJNNaTjU,ICQm8qhynI,aPY6JzGQTy,zöldség,1,2016-04-24T10:47:48.946Z,2016-05-11T06:10:25.664Z,0,1,null,null
9cK5N74p3l,PhOGS8hjgu,9khs0pQOc8,sajt,1,2016-03-12T12:06:38.285Z,2016-03-21T18:15:28.418Z,0,null,null,null
c01R5QCgBJ,gPVT9UwK2w,y90Ppvuxos,tej,1,2016-05-28T08:26:02.939Z,2016-06-10T15:51:02.526Z,1,1,null,null
jYNVNMZtLZ,2e87KudnLE,MmkPQiRT9E,pogácsa,2,2016-04-09T08:03:25.193Z,2016-04-09T09:24:16.275Z,1,null,null,null
8ouTIglH9Q,uXwnEfpzQ0,XRFdzqaQKg,virágföld,2,2016-04-10T17:19:14.322Z,2016-04-10T17:20:29.500Z,0,1,null,null
1YunLZUIhn,spV7nXl8JK,2a3anxCWJY,fertőtlenítő kézmosó,1,2016-02-26T13:18:05.169Z,2016-04-19T18:11:08.405Z,0,1,null,null
fgA2xEqXdO,xKpz4hBDX2,U1gNZoJZS7,gyümölcs,1,2016-04-11T21:08:03.634Z,2016-04-13T16:06:45.122Z,0,1,null,null
G2GdbbhOYg,bE3tWaynzP,wrMmLnxSKY,piros arany,1,2016-04-11T12:16:20.393Z,2016-04-11T12:16:20.393Z,0,null,null,null
8DnAj1jbod,oVCSLwxORJ,H1uPaqzf1b,zabpehely,1,2016-04-17T07:11:57.790Z,2016-04-17T07:11:57.790Z,0,null,null,null
ppHarbeVKR,jALr2XXm98,oxzwY4loer,joghurt,4,2016-01-19T09:30:29.603Z,2016-01-19T12:26:29.290Z,0,null,null,null
AFf55U0vYR,OHS2KBI0Sw,b5aNxaCdCp,szalonna,300,2016-01-16T08:31:48.362Z,2016-01-16T08:31:48.362Z,0,null,null,null
NvBmEn6csY,08tGZWUzDv,o2TN3xopaZ,wc papír,1,2016-01-18T05:21:53.318Z,2016-01-18T05:21:57.294Z,0,1,null,null
uiL2pk6d6U,VpCc6YpVDh,blZT4H1xCo,sonka,4,2016-06-14T14:44:31.427Z,2016-06-14T14:45:06.722Z,1,1,null,null
KzT54XtAtB,Lh8YM5wxp3,RR1cNDiPKo,mosópor,1,2016-01-31T08:51:46.521Z,2016-02-08T07:08:29.392Z,0,1,null,null
9jAR9E7SVx,YUl56mt2wi,LZmHQepb2m,kenyér,1,2016-06-10T12:47:41.112Z,2016-08-21T11:22:30.347Z,1,1,null,null
vD17KSWy2k,AcUMsmZNDG,OsvjlYymnl,felvágott,1,2016-05-18T22:28:32.726Z,2016-05-18T22:28:32.726Z,0,null,null,null
UkW5P7LaSq,KuMU2Gh69u,G7UZo6jvyD,hagyma,1,2016-08-30T09:19:20.679Z,2016-08-31T18:47:41.620Z,0,1,null,null
uDJ8s4H9BD,pG30PqumDn,MMURmThZFu,liszt,1,2016-07-27T08:20:10.573Z,2016-07-27T12:56:31.590Z,0,1,null,null
Z1MdLEyCpU,z9nPWETjvI,sRCObV7F0v,felvágott,1,2016-01-07T17:31:09.428Z,2016-01-08T06:51:38.333Z,1,null,null,null
Z1MdLEyCpU,JmYaYAE05Q,vjI2l4DFiv,szalámi,2,2016-01-24T12:21:50.266Z,2016-01-25T21:06:07.755Z,1,1,null,null
wymbVouGmJ,hgLLmwkNnb,xGs8xbfntR,zsemle,1,2016-04-12T10:14:08.240Z,2016-04-12T10:14:08.240Z,0,null,null,null
Iq9NjZjYft,DVrOHwuAkS,fnkCafFc9Q,tojás,1,2016-05-07T06:39:44.946Z,2016-06-05T16:18:29.615Z,1,1,null,null
poZR7Um8FF,ZrwFyICclE,uUCiC6ldts,szörp,1,2016-05-06T12:59:15.134Z,2016-06-17T17:48:41.541Z,1,1,null,null
8DnAj1jbod,4IxC0hWVlJ,ZLjc0fmCCW,tej,1,2016-05-21T04:55:20.007Z,2016-05-21T04:55:20.007Z,0,null,null,null
Lcd6m01fER,3h4Z1dFuZi,NhzhAMpBD1,bor,2,2016-08-19T11:17:02.018Z,2016-08-19T11:17:02.018Z,0,null,null,null
yRVqyPZkqQ,lZ9yI9Hkag,nxgU6HYvKE,ásványvíz,1,2016-05-29T06:16:36.726Z,2016-05-29T07:15:38.454Z,1,null,null,null
561WzNwdgC,iWiRi0bzFK,9lFbBEksvl,üdítő,1,2016-03-27T20:56:54.080Z,2016-03-27T20:58:22.016Z,1,null,null,null
rBPgVh9Fkq,TjdxcecMkx,5z8R8Wx30R,csoki,800,2016-02-05T13:00:43.446Z,2016-02-06T16:32:10.613Z,0,1,null,null
DvRDbmLOqb,35SRwp0t6H,0rpuVMQuBE,hagyma,1,2016-04-18T14:41:42.796Z,2016-04-18T14:41:42.796Z,0,null,null,null
9elgoRu4Gm,Ge7hWvIU0S,IvZP96FIFw,sonka,1,2016-05-13T11:44:41.845Z,2016-05-13T11:44:41.845Z,0,null,null,null
I5b9J0mwfE,hCeQbCSevP,SsOf7V7h7N,vitamin,1,2016-01-21T14:26:11.641Z,2016-01-21T14:26:11.641Z,0,null,null,null
KMqAMtTV26,icB6i2toEd,ADJJWzzFaR,sajt,1,2016-07-01T13:00:01.118Z,2016-07-01T13:00:01.118Z,0,null,null,null
0fGglovVft,d5eq9SFMbd,AmzF7Fk0yI,lottó,2,2016-08-06T09:48:27.097Z,2016-08-11T17:29:56.734Z,1,1,47.463063315829,19.14602975092542
VRbvhCjo6p,reY69OmlEF,dljLKQFz3R,burgonya,3,2016-06-16T06:47:56.143Z,2016-06-24T10:45:45.766Z,1,1,null,null
EwDt7Y1dBp,iGEmjxtpRM,AEzNnz9DW9,görög joghurt,4,2016-04-17T10:30:26.459Z,2016-05-20T17:26:49.098Z,0,1,null,null
0fGglovVft,tkMaWp7mLv,q0dmGrgegQ,kenyér,1,2016-05-11T05:53:55.466Z,2016-05-14T04:13:31.093Z,1,1,47.46163393676856,19.14653436458694
rAWKEHCxC3,P0QXny197t,KIzJC36kAa,hagyma,1,2016-03-06T19:08:05.942Z,2016-04-01T16:37:06.633Z,0,null,null,null
DVl0SGRtGR,y227dU0VMn,ZMoIpPgMRo,túró rudi,1,2016-05-02T18:15:28.029Z,2016-05-02T18:15:28.029Z,0,null,null,null
ye2ewPAmyJ,0V8hqz4Gm5,by47cuobyz,fültisztító,1,2016-04-24T09:01:21.156Z,2016-04-24T09:01:21.156Z,0,null,null,null
KMqAMtTV26,icB6i2toEd,nXrshFxkvE,tej,2,2016-07-01T12:59:46.351Z,2016-07-01T12:59:46.351Z,0,null,null,null
fmy3RiKwDc,vEHSRPVfQU,4ngsosNPcn,virsli,1,2016-07-31T12:16:54.642Z,2016-07-31T13:19:46.317Z,1,1,null,null
8DnAj1jbod,4IxC0hWVlJ,zIe1SHduWl,menta,1,2016-05-21T07:57:40.871Z,2016-05-21T07:57:40.871Z,0,null,null,null
H2xDOvgZ64,bieHYIVKBz,Y4xpHUP4e0,joghurt,1,2016-04-17T09:24:44.496Z,2016-04-30T10:10:40.936Z,0,1,null,null
TrAO8hyH23,yvzyoDBk5Y,jrGdljZuO1,vaj,600,2016-03-25T09:27:03.339Z,2016-03-25T13:01:43.817Z,1,null,null,null
V4uuHu6NPi,QtYMgoxurw,9G2jfHPyPo,tojás,10,2016-01-07T05:35:36.965Z,2016-01-21T10:38:05.378Z,null,1,null,null
O6JeA8qF0L,vZXLsrwwXX,cDt26uhG0K,olaj,1,2016-04-07T09:56:39.922Z,2016-04-07T09:56:39.922Z,0,null,null,null
EqnpSyPy84,zkNh5b7nf1,TgQhKG6oC2,sajt,40,2016-02-20T12:43:25.720Z,2016-03-04T16:13:20.432Z,1,null,null,null
6O282ccWUL,vuqUoQUaI7,0voBtiNTM0,konzerv,1,2016-03-11T16:27:52.618Z,2016-03-13T09:14:51.186Z,1,1,null,null
xezEjCfvtV,NSrraBLQgZ,r8HTYcoIst,sajt,1,2016-04-19T20:56:12.378Z,2016-04-19T20:56:12.378Z,0,null,null,null
9xJW8WMDQe,r6JFrMQsYs,c1SRybA7MB,szódabikarbona,1,2016-01-18T18:23:20.103Z,2016-01-20T10:23:24.633Z,0,1,null,null
uP7MpOBlvg,V1SO27mYr5,mL9VAht5bf,vattakorong,1,2016-08-23T19:46:30.207Z,2016-08-23T19:46:30.207Z,0,null,null,null
3iHNtzki0H,eLLIbJmUQm,fwyYuz4oGN,felvágott,1,2016-01-30T07:15:24.074Z,2016-01-30T08:54:45.413Z,1,null,47.45161437999158,19.15748594532606
pOVaMR2DDx,MbUCLjAYKT,TVcV2yhQ4E,saláta,1,2016-05-29T14:27:07.933Z,2016-05-29T14:27:07.933Z,0,null,null,null
EzkxDNecB6,CyIddKpDc3,UyAoWwop1V,narancs,12,2016-06-30T13:17:30.266Z,2016-06-30T13:17:30.266Z,0,null,null,null
epBzEzF3P5,iyInF0cY5Z,oHNAF72Hk3,tej,2,2016-04-05T13:21:37.650Z,2016-04-05T13:21:37.650Z,0,null,null,null
9xJW8WMDQe,6qj7XuOfkV,sxuid2AkHY,hagyma,1,2016-06-04T16:37:45.014Z,2016-06-04T16:37:46.810Z,0,1,null,null
ytkl2iHFiT,NomMaDdWOf,cxL4Sx5Vfm,sajt,1,2016-07-14T10:17:18.946Z,2016-07-29T10:41:59.459Z,0,1,null,null
M3nGagH9KI,l4FJReJI28,GsW6t9JO0P,túró rudi,1,2016-04-25T07:02:07.497Z,2016-05-17T09:01:04.509Z,0,1,null,null
WEfrNzQRjA,psQTMWfee0,1rXjiDOJXB,olaj,1,2016-06-03T20:26:24.890Z,2016-06-03T20:26:24.890Z,0,null,null,null
V49NC6w5Pb,rrf7dl02bG,ZS6rlXQOoL,ásványvíz,1,2016-03-12T08:43:32.223Z,2016-03-12T11:32:13.218Z,1,1,null,null
fvkSEVNfO2,Y8mEmZd6ho,hnwdAtG46b,szappan,1,2016-05-20T16:11:21.178Z,2016-06-13T07:13:16.490Z,0,1,null,null
qUsEuZU4PT,RRQI7iSrnW,Gwvm1r72Rn,banán,1,2016-05-05T15:47:11.824Z,2016-05-10T12:21:18.770Z,1,1,null,null
GkLC2cbCi4,Jj9usey4M1,HluEyiYmZj,felvágott,15,2016-06-13T03:54:42.250Z,2016-06-13T08:13:32.823Z,1,null,null,null
u1fsE3vRaY,JEacoKPSEw,mdTELN6vB5,zsemle,8,2016-04-12T14:48:26.274Z,2016-04-12T17:13:56.488Z,0,1,null,null
4gWJIATshe,Ivyg9B90id,BKFFmG5t0O,illatosító,1,2016-07-23T07:00:42.186Z,2016-07-23T07:00:42.186Z,0,null,null,null
8A89wAvmU5,t4mAoDFViA,Sh9G5aTrho,burgonya,1,2016-05-29T06:14:16.565Z,2016-05-29T07:37:06.829Z,1,null,null,null
5O4sygS49T,y5mKVLa5wr,p4SMav3S04,domestos,1,2016-06-24T06:53:46.838Z,2016-06-26T11:50:51.353Z,0,1,null,null
3iHNtzki0H,bM1m0raQKS,vkSC3FCXSv,felvágott,1,2016-03-05T08:36:50.983Z,2016-03-05T09:24:15.804Z,1,null,47.45167541503839,19.15876770008113
qPVjnXDt96,nVOahzCA9w,RknDQfnx7K,tojás,1,2016-05-06T12:34:00.372Z,2016-05-06T12:34:00.372Z,0,null,null,null
A9S1GTFsfk,Bs0LyicePl,EGRSHFm6iw,papírtörlő,1,2016-05-14T10:06:01.319Z,2016-05-22T15:01:19.809Z,1,1,null,null
xNftmoDcDu,YJnwzD5GXF,SeuenP7UIK,csirkemell,1,2016-04-08T11:22:04.771Z,2016-04-08T11:22:04.771Z,0,null,null,null
bcNPACMpn0,SpCxU9QiyM,XFFMyP5CSL,gyümölcs,1,2016-04-27T17:49:40.242Z,2016-04-27T17:50:46.453Z,1,null,null,null
xDF2SeGQfV,OUwSpBwpI0,vFXBvg0nmC,citrom,1,2016-04-17T19:29:59.609Z,2016-04-17T19:29:59.609Z,0,null,null,null
cGV3NC6rcJ,JexAvII9SY,EEnp3MBZrm,tej,1,2016-08-08T15:27:39.883Z,2016-08-08T15:27:39.883Z,0,null,null,null
N6OCyWrf2n,kKMl5OdpJX,CxBfvr6zqO,tej,12,2016-04-11T08:27:06.582Z,2016-04-11T08:27:06.582Z,0,null,null,null
OvQKXSjZqP,5zGrH1mj0V,DNYxLjqRnb,kelkáposzta,1,2016-05-21T05:18:41.065Z,2016-05-25T12:14:57.246Z,0,1,null,null
aoI3blHH8o,AfUnTHzyK6,61QDcfB3XV,öblítő,1,2016-04-29T10:48:34.693Z,2016-04-29T12:14:05.282Z,1,null,null,null
F4rLOtMPS4,a4cVILwG11,j1RQvmVteH,burgonya,1,2016-03-07T13:23:21.762Z,2016-03-07T16:01:18.509Z,1,null,null,null
ifbHBXd8Z0,AHwrKgRj3O,CockBufLW1,kutyakaja,1,2016-06-22T13:59:23.106Z,2016-08-02T06:40:32.351Z,0,null,null,null
